vehicle_id,zone,vehicle_type,battery_capacity_kWh,registration_date
EV-00001,Koramangala,2W,3.9,2024-11-08
EV-00002,Koramangala,2W,3.7,2024-05-30
EV-00003,Koramangala,4W,39.6,2024-11-07
EV-00004,Koramangala,2W,2.2,2025-02-23
EV-00005,Koramangala,3W,8.9,2024-05-07
EV-00006,Koramangala,4W,37.7,2024-12-08
EV-00007,Koramangala,2W,2.7,2024-02-08
EV-00008,Koramangala,3W,5.9,2024-07-20
EV-00009,Koramangala,2W,2.3,2025-02-26
EV-00010,Koramangala,2W,2.9,2024-07-24
EV-00011,Koramangala,4W,38.9,2024-08-17
EV-00012,Koramangala,2W,1.8,2024-11-09
EV-00013,Koramangala,2W,2.3,2024-10-11
EV-00014,Koramangala,2W,3.3,2024-12-08
EV-00015,Koramangala,3W,7.1,2024-09-04
EV-00016,Koramangala,4W,41.2,2024-02-04
EV-00017,Koramangala,2W,1.9,2024-07-11
EV-00018,Koramangala,4W,54.3,2024-12-18
EV-00019,Koramangala,4W,68.7,2024-09-22
EV-00020,Koramangala,2W,2.3,2024-11-29
EV-00021,Koramangala,2W,3.9,2025-04-22
EV-00022,Koramangala,4W,52.6,2024-11-27
EV-00023,Koramangala,4W,40.9,2024-07-20
EV-00024,Koramangala,2W,3.1,2024-12-19
EV-00025,Koramangala,2W,2.0,2024-08-14
EV-00026,Koramangala,3W,6.1,2025-03-05
EV-00027,Koramangala,4W,36.2,2024-12-29
EV-00028,Koramangala,2W,3.1,2024-12-10
EV-00029,Koramangala,2W,3.7,2024-11-05
EV-00030,Koramangala,4W,70.4,2024-10-06
EV-00031,Koramangala,2W,3.7,2024-06-25
EV-00032,Koramangala,3W,8.5,2025-03-21
EV-00033,Koramangala,2W,3.4,2024-07-13
EV-00034,Koramangala,2W,2.4,2024-12-09
EV-00035,Koramangala,4W,58.4,2025-01-07
EV-00036,Koramangala,2W,3.3,2025-03-06
EV-00037,Koramangala,4W,46.7,2024-08-02
EV-00038,Koramangala,2W,2.5,2025-01-23
EV-00039,Koramangala,4W,61.3,2025-02-04
EV-00040,Koramangala,2W,2.8,2024-10-09
